"nctid","anticipated_enrollment","actual_enrollment","has_summary_results","has_publication","phase_recoded","has_publ_or_summary","source"
"NCT01171274",50,58,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01171339",490,505,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01186263",24,24,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01188902",60,60,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01191359",NA,66,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01192269",12,13,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01206790",30,47,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01207960",30,24,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01208194",129,59,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01212718",NA,168,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01214278",12,12,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01216605",NA,56,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01218217",90,90,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01228799",60,64,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01233180",50,50,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01234194",NA,24,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01236300",150,66,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01237756",NA,18,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01240083",45,61,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01242345",170,170,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01247051",90,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01253096",30,25,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01262521",20,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01271595",NA,60,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01272674",20,20,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01275508",25,25,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT01280032",18,NA,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01282827",NA,40,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01291199",NA,57,FALSE,TRUE,"II-III",TRUE,"Intovalue"
"NCT01293266",NA,40,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01294241",10,10,TRUE,TRUE,"II",TRUE,"Intovalue"
"NCT01296776",80,78,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01303588",180,176,FALSE,TRUE,"II-III",TRUE,"Intovalue"
"NCT01303822",120,117,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01304368",NA,50,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01313013",100,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01315002",128,121,TRUE,TRUE,"Not given",TRUE,"Intovalue"
